t_s,mad,rel_pct_of_level,mean_level,p99_abs_diff,pct_pixels_changed
0.1000,0.7952,1.3246,60.04,6.00,1.64
0.2000,0.9753,1.6149,60.39,6.00,2.26
0.3000,0.8371,1.3749,60.89,7.00,2.46
0.4000,0.9225,1.5061,61.25,7.00,3.00
0.5000,0.9314,1.5159,61.44,8.00,3.13
0.6000,1.0370,1.6810,61.69,8.00,3.42
0.7000,0.8552,1.3792,62.01,8.00,3.35
0.8000,0.8932,1.4368,62.17,8.00,3.53
0.9000,0.9310,1.4976,62.17,8.00,3.72
1.0000,1.0333,1.6591,62.28,8.00,3.65
1.1000,0.9664,1.5486,62.41,9.00,3.81
1.2000,1.0273,1.6425,62.54,9.00,3.64
1.3000,0.8797,1.4011,62.79,8.00,3.50
1.4000,0.8996,1.4307,62.88,8.00,3.44
1.5000,0.9246,1.4713,62.84,8.00,3.33
1.6000,0.9925,1.5767,62.95,8.00,3.29
1.7000,0.8291,1.3124,63.18,7.00,2.97
1.8000,0.8477,1.3397,63.27,7.00,2.80
1.9000,0.8650,1.3677,63.24,7.00,2.65
2.0000,0.9197,1.4532,63.29,7.00,2.54
2.1000,0.8336,1.3159,63.35,6.00,2.37
2.2000,0.9252,1.4576,63.47,6.00,2.27
2.3000,0.7291,1.1445,63.70,6.00,1.87
2.4000,0.7398,1.1602,63.76,5.00,1.70
2.5000,0.7584,1.1903,63.72,5.00,1.53
2.6000,0.7877,1.2354,63.76,5.00,1.41
2.7000,0.6838,1.0703,63.89,5.00,1.18
2.8000,0.6730,1.0542,63.84,5.00,1.14
2.9000,0.7274,1.1429,63.65,4.00,0.99
3.0000,0.7533,1.1851,63.56,4.00,0.96
3.1000,0.7491,1.1806,63.45,4.00,0.62
3.2000,0.7311,1.1545,63.33,5.00,1.23
3.3000,0.8353,1.3185,63.35,8.00,2.65
3.4000,1.1309,1.7874,63.27,12.00,5.20
3.5000,1.4670,2.3258,63.07,15.00,7.06
3.6000,1.7516,2.7772,63.07,19.00,8.91
3.7000,1.8710,2.9605,63.20,21.00,9.80
3.8000,1.9768,3.1265,63.23,23.00,10.44
3.9000,2.0951,3.3162,63.18,23.00,10.65
4.0000,2.0796,3.2826,63.35,22.00,10.63
4.1000,2.1952,3.4428,63.76,20.00,12.87
4.2000,2.2765,3.5335,64.43,20.00,13.32
4.3000,2.0850,3.1921,65.32,19.00,13.11
4.4000,1.9091,2.8949,65.95,19.00,11.94
4.5000,2.0217,3.0555,66.17,20.00,12.70
4.6000,2.3497,3.5784,65.66,26.00,11.17
4.7000,40.5557,71.8678,56.43,160.00,93.82
4.8000,38.0862,81.3055,46.84,133.00,81.75
4.9000,29.8390,75.8497,39.34,132.00,86.95
5.0000,20.1156,56.6495,35.51,109.00,73.35
5.1000,5.9869,15.1906,39.41,36.00,35.32
5.2000,1.9940,4.9073,40.63,17.00,10.09
5.3000,2.3896,5.8439,40.89,27.00,11.50
5.4000,2.8203,6.8790,41.00,41.00,11.87
5.5000,3.3085,8.0672,41.01,55.00,12.17
5.6000,3.7699,9.1680,41.12,65.00,12.46
5.7000,4.1700,10.0941,41.31,74.00,13.10
5.8000,4.7323,11.4178,41.45,82.00,13.48
5.9000,5.0985,12.2971,41.46,86.00,13.73
6.0000,5.1725,12.4680,41.49,84.00,13.72
6.1000,4.9878,12.0100,41.53,80.00,13.56
6.2000,5.0335,12.0839,41.65,77.00,13.52
6.3000,4.7829,11.4374,41.82,74.00,13.40
6.4000,4.5318,10.8285,41.85,73.00,12.97
6.5000,4.6056,11.0138,41.82,74.00,13.05
6.6000,4.8875,11.6675,41.89,77.00,12.73
6.7000,5.0829,12.0804,42.08,78.00,12.86
6.8000,4.9748,11.7987,42.16,76.00,13.22
6.9000,4.8420,11.4843,42.16,73.00,13.18
7.0000,4.9884,11.8389,42.14,73.00,12.82
7.1000,5.3826,12.8450,41.90,75.00,18.34
7.2000,5.9131,14.2412,41.52,80.00,18.24
7.3000,5.7182,13.9052,41.12,80.00,18.77
7.4000,6.1222,15.1616,40.38,81.00,19.83
7.5000,10.4578,27.9032,37.48,93.00,58.46
7.6000,10.5999,32.8562,32.26,98.00,61.19
7.7000,9.1738,34.6087,26.51,91.00,55.84
7.8000,6.6098,31.6330,20.90,68.00,37.96
7.9000,5.1712,32.7559,15.79,42.00,34.99
8.0000,3.1121,26.4458,11.77,27.00,15.54
8.1000,2.8290,28.0991,10.07,22.00,19.19
8.2000,2.7089,24.7193,10.96,12.00,16.54
8.3000,2.4441,18.4500,13.25,13.00,12.26
8.4000,2.5451,16.1825,15.73,12.00,14.55
8.5000,3.5315,18.9112,18.67,48.00,12.03
8.6000,4.4043,19.9021,22.13,71.00,10.19
8.7000,4.1458,16.3397,25.37,82.00,7.06
8.8000,3.5253,12.6137,27.95,75.00,7.07
8.9000,2.7857,9.3486,29.80,64.00,7.02
9.0000,2.2078,7.0970,31.11,48.00,6.89
9.1000,1.4300,4.4649,32.03,30.00,7.01
9.2000,0.8692,2.6651,32.62,16.00,6.38
9.3000,0.4106,1.2480,32.90,4.00,0.81
9.4000,0.3110,0.9428,32.99,2.00,0.36
9.5000,0.3057,0.9265,32.99,2.00,0.24
9.6000,0.2907,0.8806,33.01,2.00,0.20
9.7000,0.2328,0.7048,33.03,2.00,0.15
9.8000,0.2248,0.6805,33.03,1.00,0.00
9.9000,0.2680,0.8118,33.02,1.00,0.00
