t_s,mad,rel_pct_of_level,mean_level,p99_abs_diff,pct_pixels_changed
0.0333,1.3593,0.7263,187.14,36.00,4.55
0.0667,1.0475,0.5583,187.62,26.00,4.83
0.1000,1.4058,0.7472,188.14,33.00,5.63
0.1333,1.4844,0.7871,188.58,35.00,5.15
0.1667,1.3401,0.7096,188.85,31.00,4.94
0.2000,0.9519,0.5035,189.04,21.00,4.18
0.2333,0.5364,0.2835,189.21,12.00,2.72
0.2667,0.8573,0.4527,189.38,20.00,3.47
0.3000,1.0284,0.5427,189.49,26.00,3.88
0.3333,1.1640,0.6136,189.69,25.00,5.21
0.3667,0.6773,0.3565,189.99,16.00,3.61
0.4000,0.4286,0.2254,190.19,9.00,2.25
0.4333,0.6419,0.3373,190.28,16.00,2.95
0.4667,0.7750,0.4072,190.33,16.00,3.35
0.5000,0.6540,0.3435,190.40,13.00,2.89
0.5333,0.4660,0.2446,190.52,12.00,2.06
0.5667,0.5685,0.2981,190.73,13.00,3.16
0.6000,0.7272,0.3807,191.02,16.00,3.68
0.6333,0.5909,0.3090,191.26,12.00,2.85
0.6667,0.5401,0.2822,191.41,11.00,2.41
0.7000,0.4641,0.2423,191.55,10.00,2.21
0.7333,0.5452,0.2845,191.66,10.00,2.54
0.7667,0.5889,0.3070,191.81,14.00,2.68
0.8000,0.6130,0.3193,191.99,12.00,2.60
0.8333,1.4950,0.7763,192.57,29.00,3.21
0.8667,2.1510,1.1098,193.82,52.00,4.59
0.9000,4.3308,2.2118,195.81,170.00,10.38
0.9333,19.4183,9.3993,206.59,208.00,19.91
0.9667,9.8426,4.4546,220.95,77.00,15.06
1.0000,0.4079,0.1807,225.72,6.00,1.86
1.0333,0.4299,0.1905,225.67,7.00,2.24
1.0667,0.4570,0.2026,225.63,8.00,2.43
1.1000,0.4426,0.1962,225.58,8.00,2.18
1.1333,0.5076,0.2251,225.53,9.00,2.22
1.1667,0.6003,0.2662,225.48,10.00,3.07
1.2000,0.6247,0.2771,225.46,12.00,2.44
1.2333,0.7552,0.3350,225.44,12.00,3.10
1.2667,0.8349,0.3704,225.42,14.00,3.10
1.3000,0.9474,0.4203,225.42,15.01,3.42
1.3333,0.9968,0.4422,225.42,17.00,3.18
1.3667,1.1181,0.4960,225.43,18.00,3.45
1.4000,1.1836,0.5250,225.44,20.00,3.48
1.4333,1.2077,0.5357,225.44,21.00,3.46
1.4667,1.2117,0.5374,225.47,23.00,3.57
1.5000,1.1424,0.5066,225.49,22.00,3.13
1.5333,1.2552,0.5567,225.47,24.00,4.37
1.5667,1.2989,0.5763,225.38,33.00,3.98
1.6000,1.5276,0.6783,225.20,34.01,5.23
1.6333,1.5547,0.6910,224.99,40.00,5.09
1.6667,1.6098,0.7160,224.84,43.00,5.26
1.7000,1.8087,0.8049,224.71,52.00,5.24
1.7333,2.0772,0.9249,224.59,61.00,5.93
1.7667,2.2991,1.0246,224.39,63.01,6.79
1.8000,2.3724,1.0585,224.12,63.00,6.88
1.8333,2.4275,1.0840,223.94,67.00,6.14
1.8667,2.5773,1.1512,223.87,71.00,6.45
1.9000,2.7753,1.2401,223.81,82.00,5.77
1.9333,3.0177,1.3487,223.74,94.00,6.25
1.9667,3.0823,1.3777,223.72,103.00,5.59
2.0000,3.0932,1.3825,223.74,103.00,5.81
2.0333,3.0139,1.3472,223.72,101.00,5.44
2.0667,2.9737,1.3296,223.66,103.00,5.68
2.1000,2.8042,1.2539,223.65,98.00,5.07
2.1333,2.7315,1.2214,223.64,94.00,5.10
2.1667,2.6082,1.1663,223.63,92.00,4.94
2.2000,2.5512,1.1411,223.59,88.00,5.35
2.2333,2.4069,1.0766,223.56,85.00,4.75
2.2667,2.2774,1.0187,223.56,79.00,4.78
2.3000,2.1886,0.9790,223.54,75.01,4.66
2.3333,2.1021,0.9405,223.50,71.00,4.67
2.3667,1.9657,0.8795,223.49,66.00,4.66
2.4000,1.8835,0.8427,223.52,64.00,4.50
2.4333,1.7783,0.7957,223.50,62.00,4.63
2.4667,1.7185,0.7691,223.45,56.00,4.46
2.5000,1.6075,0.7194,223.45,55.00,4.35
2.5333,1.5069,0.6743,223.47,52.00,4.47
2.5667,1.4293,0.6397,223.44,48.00,4.34
2.6000,1.4426,0.6458,223.39,47.00,4.34
2.6333,1.3173,0.5897,223.39,44.00,4.17
2.6667,1.2256,0.5486,223.40,40.00,4.42
2.7000,1.1555,0.5173,223.38,39.00,4.19
2.7333,1.1887,0.5323,223.34,37.00,4.33
2.7667,1.1061,0.4953,223.32,36.00,4.34
2.8000,1.0265,0.4596,223.35,32.00,4.17
2.8333,0.9451,0.4231,223.38,30.00,3.91
2.8667,0.9478,0.4243,223.37,28.00,4.06
2.9000,0.9739,0.4360,223.38,29.00,4.30
2.9333,0.9308,0.4166,223.41,28.00,4.00
2.9667,0.8801,0.3940,223.41,26.00,4.02
3.0000,0.9661,0.4325,223.36,28.00,4.18
3.0333,0.9016,0.4036,223.35,25.00,4.06
3.0667,0.9796,0.4385,223.41,30.00,4.10
3.1000,0.9951,0.4454,223.44,31.00,3.96
3.1333,1.1101,0.4969,223.41,37.00,3.82
3.1667,1.1637,0.5209,223.40,39.00,4.06
3.2000,1.3360,0.5979,223.45,45.00,4.13
3.2333,1.5124,0.6767,223.49,47.00,4.76
3.2667,1.5607,0.6978,223.67,47.00,4.98
3.3000,1.5678,0.6992,224.24,47.00,5.47
3.3333,1.2751,0.5666,225.07,37.00,5.50
3.3667,0.7197,0.3189,225.67,15.00,4.55
3.4000,0.3406,0.1508,225.85,6.00,1.39
3.4333,0.3415,0.1512,225.86,6.00,1.62
3.4667,0.2905,0.1286,225.88,5.00,1.19
3.5000,0.3555,0.1574,225.87,7.00,1.73
3.5333,0.3651,0.1617,225.82,7.00,1.85
3.5667,0.3428,0.1518,225.78,6.00,1.57
3.6000,0.2956,0.1309,225.78,6.00,1.37
3.6333,0.3546,0.1571,225.75,7.00,1.77
3.6667,0.3261,0.1445,225.72,6.00,1.34
3.7000,0.3357,0.1487,225.71,6.00,1.56
3.7333,0.3310,0.1466,225.71,8.00,1.66
3.7667,0.3434,0.1522,225.67,6.00,1.67
3.8000,0.3343,0.1482,225.63,7.00,1.59
3.8333,0.3037,0.1346,225.60,6.00,1.44
3.8667,0.2819,0.1250,225.58,5.00,1.36
3.9000,0.3036,0.1346,225.56,6.00,1.44
3.9333,0.2830,0.1255,225.52,5.00,1.24
3.9667,0.3291,0.1460,225.50,6.00,1.69
4.0000,0.3187,0.1414,225.46,7.00,1.75
4.0333,0.3357,0.1489,225.41,6.00,1.60
4.0667,0.2912,0.1292,225.37,6.00,1.48
4.1000,0.2626,0.1165,225.35,5.00,1.11
4.1333,0.2497,0.1108,225.34,5.00,1.12
4.1667,0.2614,0.1160,225.32,5.00,1.19
4.2000,0.4349,0.1931,225.20,12.00,2.29
4.2333,0.3251,0.1445,225.06,7.00,1.74
4.2667,0.3033,0.1348,225.00,7.00,1.71
4.3000,0.2993,0.1331,224.93,6.00,1.56
4.3333,0.3078,0.1369,224.85,6.00,1.51
4.3667,0.2747,0.1222,224.80,5.00,1.26
4.4000,0.2616,0.1164,224.78,5.00,1.25
4.4333,0.2663,0.1185,224.74,5.00,1.26
4.4667,0.2816,0.1253,224.69,6.00,1.27
4.5000,0.2622,0.1167,224.66,5.00,1.30
4.5333,0.2570,0.1144,224.65,6.00,1.31
