t_s,mad,rel_pct_of_level,mean_level,p99_abs_diff,pct_pixels_changed
0.1000,3.3215,1.7661,188.06,83.00,8.94
0.2000,2.3384,1.2371,189.02,53.00,7.59
0.3000,2.7699,1.4611,189.58,65.00,8.80
0.4000,1.1350,0.5971,190.08,24.00,6.20
0.5000,1.6835,0.8840,190.45,37.00,6.50
0.6000,1.6954,0.8878,190.97,36.00,7.54
0.7000,1.3738,0.7173,191.53,26.00,6.48
0.8000,2.4976,1.2982,192.39,53.00,7.24
0.9000,23.7446,11.6047,204.61,211.00,25.20
1.0000,10.1028,4.5732,220.91,78.00,18.68
1.1000,1.2277,0.5442,225.58,24.00,6.93
1.2000,1.6809,0.7455,225.46,38.00,7.44
1.3000,2.0096,0.8915,225.43,55.01,7.34
1.4000,2.2745,1.0089,225.44,68.00,7.85
1.5000,2.4832,1.1015,225.45,73.00,8.54
1.6000,3.0182,1.3404,225.18,84.00,8.91
1.7000,3.3585,1.4946,224.72,87.00,10.25
1.8000,3.8701,1.7261,224.21,86.01,11.23
1.9000,3.4549,1.5437,223.80,74.00,11.24
2.0000,3.9107,1.7482,223.70,98.00,10.59
2.1000,3.4753,1.5538,223.66,88.01,10.82
2.2000,3.4795,1.5561,223.60,95.00,9.74
2.3000,3.7441,1.6751,223.52,109.00,9.61
2.4000,3.8357,1.7164,223.48,118.00,8.19
2.5000,3.7614,1.6832,223.47,115.00,8.52
2.6000,3.4945,1.5640,223.43,106.00,7.67
2.7000,3.1627,1.4160,223.35,98.00,7.92
2.8000,2.8130,1.2595,223.34,87.00,7.40
2.9000,2.6017,1.1646,223.41,81.00,7.50
3.0000,2.5165,1.1264,223.40,73.00,7.30
3.1000,2.7733,1.2415,223.38,87.00,7.46
3.2000,3.1531,1.4112,223.43,95.00,7.97
3.3000,3.2784,1.4604,224.49,101.00,8.91
3.4000,1.3124,0.5816,225.67,19.00,7.62
3.5000,0.9428,0.4175,225.83,20.00,4.67
3.6000,0.9213,0.4081,225.76,19.00,4.53
3.7000,0.9147,0.4052,225.71,18.00,4.45
3.8000,0.9178,0.4067,225.64,19.00,4.68
3.9000,0.8084,0.3584,225.55,17.00,4.23
4.0000,0.9193,0.4078,225.45,19.00,4.88
4.1000,0.7449,0.3305,225.37,15.00,4.14
4.2000,0.9516,0.4226,225.19,23.00,5.23
4.3000,0.8623,0.3834,224.92,20.00,4.80
4.4000,0.7544,0.3356,224.77,16.00,4.39
4.5000,0.7431,0.3307,224.68,16.00,4.16
4.6000,0.7080,0.3152,224.61,16.00,3.97
4.7000,0.7156,0.3187,224.55,17.01,3.66
4.8000,0.8233,0.3667,224.50,20.00,3.58
4.9000,0.8090,0.3604,224.45,21.00,3.02
5.0000,0.9380,0.4179,224.44,27.00,2.89
5.1000,1.1972,0.5331,224.55,36.00,3.13
5.2000,1.3351,0.5932,225.09,42.00,3.09
5.3000,0.6712,0.2974,225.66,18.00,3.21
